Address,Baths Full,Baths Half,Beds Total,Sq Ft Total,Postal City,County,DOM,Expiration Date,# of Fireplaces,,HOA Amenities,HOA Exist YN,HOA Fee,Garage Spaces,HOA Phone,No Of Floors,List Price,Listing Date,Acres,Lot Size,Room Count,MLS Number,Original List Date,Original List Price,Parcel Number,Property Type,Longitude,Latitude,State,Status,Status Change Timestamp,Style,View,Year Built,Zip Code,Unit Number,Owner Name,Buyer's Financing,Property Tax,No Of Stories
181 Fremont Street,6,1,4,6941,San Francisco,San Francisco,88,10/31/2027 12:00:00 AM,1,,"Gym/ Exercise Facility, Other",TRUE,7260,3,,,47500000,05/23/2026 12:00:00 AM,0.352,15312,0,SF426133399,05/23/2026 12:00:00 AM,47500000,3719-518,Residential,-122.395453,37.789653,California,Active,05/23/2026 12:00:00 AM,"Luxury, Modern/High Tech","Bay, Golden Gate Bridge, City, Mountains, Bay Bridge, Panoramic, Water, City Lights, Downtown",2018,94105,70-PH,,,,0
181 Fremont Street,2,0,2,3199,San Francisco,San Francisco,99,10/31/2027 12:00:00 AM,1,,"Gym/ Exercise Facility, Recreation Room",TRUE,5156,2,,,16000000,05/12/2026 12:00:00 AM,0.352,15312,0,SF426133774,05/12/2026 12:00:00 AM,16000000,3719-517,Residential,-122.395453,37.789653,California,Active,05/12/2026 12:00:00 AM,Modern/High Tech,"Bay, Hills, City, Bay Bridge, Panoramic, San Francisco, City Lights, Downtown",2018,94105,69-B,,,,0
181 Fremont Street,2,1,2,3256,San Francisco,San Francisco,99,10/31/2027 12:00:00 AM,0,,Gym/ Exercise Facility,TRUE,5156,2,,,13000000,05/12/2026 12:00:00 AM,0.352,15312,0,SF426133776,05/12/2026 12:00:00 AM,13000000,3719-515,Residential,-122.395453,37.789653,California,Active,05/12/2026 12:00:00 AM,Modern/High Tech,"Bay, Hills, City, Bay Bridge, Panoramic, City Lights, Downtown",2018,94105,68B,,,,0
488 Folsom Street,5,0,4,4176,San Francisco,San Francisco,443,08/28/2026 12:00:00 AM,1,,,TRUE,3130,0,,,11250000,02/28/2025 12:00:00 AM,1.142,49754,0,SF425013417,02/28/2025 12:00:00 AM,11250000,3737-172,Residential,-122.39456,37.787745,California,Active,02/28/2025 12:00:00 AM,Luxury,"Bridge(s), City, Water",2019,94105,5501,,,,0
387 Tehama Street,2,4,4,1384,San Francisco,San Francisco,9,04/27/2027 12:00:00 AM,0,,,TRUE,6263,0,,,9950000,08/10/2026 12:00:00 AM,0.495,21547,0,SF426153530,08/10/2026 12:00:00 AM,9950000,3733-115,Residential,-122.403913,37.78128,California,Active,08/10/2026 12:00:00 AM,Luxury,,1996,94103,,,,,4
1150 Sacramento Street,3,1,3,4420,San Francisco,San Francisco,159,02/08/2027 12:00:00 AM,2,,,TRUE,3421,0,,,7995000,03/13/2026 12:00:00 AM,0.341,14843,0,SF426106208,03/13/2026 12:00:00 AM,8995000,0222-074,Residential,-122.411814,37.792947,California,Active,03/13/2026 12:00:00 AM,,"Bay, Hills, Panoramic, City Lights",1989,94108,701,,,,7
338 Main Street,3,0,3,2685,San Francisco,San Francisco,7,09/06/2026 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility, Barbecue Area, Pool, Putting Green",TRUE,1764,0,,,7000000,08/12/2026 12:00:00 AM,1.731,75406,0,SF426149706,08/12/2026 12:00:00 AM,7000000,3746-363,Residential,-122.391499,37.788675,California,Active,08/12/2026 12:00:00 AM,Modern/High Tech,"Bay, Bay Bridge",2016,94105,32B,,,,37
301 Mission Street,4,0,3,3315,San Francisco,San Francisco,,01/31/2027 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility, Pool, Recreation Room, Sauna/ Spa/ Hot Tub",TRUE,4500,0,,,6000000,12/31/2026 12:00:00 AM,1.163,50667,0,SF423914032,12/31/2026 12:00:00 AM,6000000,3719-349,Residential,-122.396153,37.790382,California,Active,12/31/2026 12:00:00 AM,Modern/High Tech,"Bay, Bridge(s), City, Mountains, Bay Bridge, Panoramic, San Francisco, City Lights, Downtown",2009,94105,50B,,,,0
217 Missouri Street,4,0,0,5200,San Francisco,San Francisco,,03/18/2027 12:00:00 AM,0,,,TRUE,,0,,,5998000,11/28/2026 12:00:00 AM,0.064,2800,0,SF426152776,11/28/2026 12:00:00 AM,5998000,4002-022,Residential,-122.396372,37.763563,California,Active,11/28/2026 12:00:00 AM,Custom,,0,94107,4,,,,0
456 Collingwood Street,2,2,3,2657,San Francisco,San Francisco,,05/31/2027 12:00:00 AM,0,,,TRUE,,1,,,5650000,05/30/2027 12:00:00 AM,,0,0,SF426124740,05/30/2027 12:00:00 AM,5650000,2769-053,Residential,-122.435807,37.7551,California,Active,05/30/2027 12:00:00 AM,Luxury,"Bay, City, Other, San Francisco, Twin Peaks, Water, City Lights, Downtown",1947,94114,,,,,0
