Address,Baths Full,Baths Half,Beds Total,Sq Ft Total,Postal City,County,DOM,Expiration Date,# of Fireplaces,Garage Spaces,HOA Amenities,HOA Exist YN,HOA Fee,HOA Fee Covers,HOA Name Text,HOA Phone,List Price,Listing Date,Acres,Lot Size,Sale Date,Room Count,MLS Number,Original List Date,Original List Price,Parcel Number,Property Type,Longitude,Latitude,Close Date,Sale Price,State,Status,Status Change Timestamp,View,Year Built,Zip Code,Unit Number,Buyer's Financing
2653 Union Street,3,1,4,2925.0,San Francisco,San Francisco,9,09/30/2026 12:00:00 AM,2.0,1.0,,False,,,,,5500000,06/01/2026 12:00:00 AM,0.056,2430.0,06/10/2026 12:00:00 AM,0,SF426135570,06/01/2026 12:00:00 AM,5500000,0951-A004,Residential,-122.442993,37.795905,06/16/2026 12:00:00 AM,8000000,California,Sold,06/16/2026 12:00:00 AM,,1965.0,94123,,All Cash No Loans
651 Dolores Street,3,0,3,5493.0,San Francisco,San Francisco,0,12/31/2021 12:00:00 AM,0.0,0.0,Garden/ Greenbelt/ Trails,True,1100.0,"Maintenance - Exterior, Landscaping/Gardening, , Water",The Light House,,6495000,09/17/2021 12:00:00 AM,,0.0,09/17/2021 12:00:00 AM,0,SF421595997,09/17/2021 12:00:00 AM,6495000,NC10-658,Residential,-122.42537,37.758872,09/29/2021 12:00:00 AM,6496000,California,Sold,09/29/2021 12:00:00 AM,,1917.0,94110,,All Cash No Loans
93 Cumberland Street,3,1,4,5493.0,San Francisco,San Francisco,29,02/05/2017 12:00:00 AM,,1.0,,True,1040.0,"Common Area Electricity, Exterior Painting, Fencing, Garbage, Hot Water, Insurance - Common Area, Insurance - Homeowners , Maintenance - Common Area, Maintenance - Exterior, Reserves, Water/Sewer",The Light House,,6149000,12/05/2016 12:00:00 AM,0.34,14819.0,01/03/2017 12:00:00 AM,0,ML81633246,12/05/2016 11:10:12 AM,6149000,3598/028,Residential,-122.425291,37.758942,02/01/2017 12:00:00 AM,6100000,California,Sold,02/10/2017 12:00:00 AM,,1916.0,94110,,All Cash No Loans
653 Dolores Street,3,0,3,5350.0,San Francisco,San Francisco,108,12/31/2016 12:00:00 AM,,2.0,,True,1100.0,"Common Area Electricity, Exterior Painting, Garbage, Hot Water, Insurance - Common Area, Landscaping/Gardening, Maintenance - Common Area, Maintenance - Unit Yard, Reserves, Water",The Light House HOA,(415) 378-4771,6490000,04/22/2016 12:00:00 AM,0.34,14819.0,08/05/2016 12:00:00 AM,0,ML81581803,04/22/2016 5:50:54 PM,6490000,3598-028,Residential,-122.42539,37.75881,08/30/2016 12:00:00 AM,6100000,California,Sold,09/03/2016 12:00:00 AM,Park,2016.0,94110,,All Cash No Loans
2322 Hyde Street,3,1,3,0.0,San Francisco,San Francisco,15,06/03/2017 12:00:00 AM,4.0,0.0,,True,10500.0,,,,5650000,03/12/2017 12:00:00 AM,,0.0,03/27/2017 12:00:00 AM,0,SF455440,03/12/2017 12:00:00 AM,5650000,0068-033,Residential,-122.419563,37.802332,05/22/2017 12:00:00 AM,5650000,California,Sold,05/23/2017 12:00:00 AM,"Bay, Bay Bridge, City Lights, Downtown, Partial, San Francisco, Water",1978.0,94109,,All Cash No Loans
341 Filbert Street,3,1,3,2890.0,San Francisco,San Francisco,37,10/14/2015 12:00:00 AM,0.0,0.0,"Roof Deck, Workshop Area",True,1286.0,"Maintenance - Exterior, , Landscaping/Gardening, Water",,,5500000,04/14/2015 12:00:00 AM,,0.0,05/21/2015 12:00:00 AM,0,SF431816,04/14/2015 12:00:00 AM,5500000,0101-064,Residential,-122.405221,37.801717,05/29/2015 12:00:00 AM,5500000,California,Sold,07/08/2015 12:00:00 AM,"Bay, Bay Bridge, City Lights, Downtown, Garden/Greenbelt, Hills, Mountains, Mt. Diablo, Park, Panoramic, San Francisco, Water, Forest/Woods",1995.0,94133,,All Cash No Loans
2222 Sacramento Street,6,1,6,5387.0,San Francisco,San Francisco,26,12/15/2021 12:00:00 AM,2.0,0.0,"None, Security Gate(s)",True,750.0,"Common Area Gas, Maintenance - Common Area, Insurance - Structure, Maintenance - Exterior",2220/2222 Sacramento Street HOA,,5749000,09/13/2021 12:00:00 AM,0.205,8938.0,10/09/2021 12:00:00 AM,0,SF421584407,09/13/2021 12:00:00 AM,5749000,0627-055,Residential,-122.430088,37.790607,10/28/2021 12:00:00 AM,5350000,California,Sold,10/28/2021 12:00:00 AM,City Lights,1906.0,94115,,All Cash No Loans
955 Green Street,3,1,3,3386.0,San Francisco,San Francisco,18,09/30/2012 12:00:00 AM,3.0,0.0,,True,2031.0,"Management Fee, Maintenance - Exterior, , Landscaping/Gardening, Insurance - Homeowners , Water",955 Green Street,,4950000,09/08/2011 12:00:00 AM,,0.0,09/26/2011 12:00:00 AM,0,SF389236,09/08/2011 12:00:00 AM,4950000,151127,Residential,-122.409915,37.805989,11/03/2011 12:00:00 AM,4995000,California,Sold,11/03/2011 12:00:00 AM,"San Francisco, Water",2002.0,94133,4,Not Reported
2121 Webster Street,3,1,3,3006.0,San Francisco,San Francisco,69,01/31/2021 12:00:00 AM,0.0,0.0,,True,2815.0,,The Pacific Owners Association,,4795000,09/25/2020 12:00:00 AM,,0.0,12/08/2020 12:00:00 AM,0,SF505765,09/25/2020 12:00:00 AM,4995000,0629-136,Residential,-122.432972,37.790221,12/31/2020 12:00:00 AM,4600000,California,Sold,12/31/2020 12:00:00 AM,City Lights,2016.0,94115,TH7,Not Reported
1041 Vallejo Street,2,1,3,2425.0,San Francisco,San Francisco,5,06/14/2018 12:00:00 AM,2.0,0.0,,True,3187.0,"Management Fee, Maintenance - Exterior, , Landscaping/Gardening, Heating, Insurance - Homeowners , Water",Russian Hill Summit HOA,,4185000,05/11/2018 12:00:00 AM,,0.0,05/16/2018 12:00:00 AM,0,SF466201,05/11/2018 12:00:00 AM,4185000,0150-060,Residential,-122.414469,37.79767,05/31/2018 12:00:00 AM,4600000,California,Sold,05/31/2018 12:00:00 AM,"Bay, Bay Bridge, City Lights, Downtown, Golden Gate Bridge, San Francisco, Twin Peaks, Water",1998.0,94133,,All Cash No Loans
