Address,Baths Full,Baths Half,Beds Total,Sq Ft Total,Postal City,County,DOM,Expiration Date,# of Fireplaces,Garage Spaces,HOA Amenities,HOA Exist YN,HOA Fee,HOA Fee Covers,HOA Name Text,HOA Phone,List Price,Listing Date,Acres,Lot Size,Sale Date,Room Count,MLS Number,Original List Date,Original List Price,Parcel Number,Property Type,Longitude,Latitude,Close Date,Sale Price,State,Status,Status Change Timestamp,View,Year Built,Zip Code,Unit Number,Buyer's Financing
1 Steuart Lane,3,0,3,2974,San Francisco,San Francisco,4,12/31/2026 12:00:00 AM,0,0,"Gym/ Exercise Facility, Other, Barbecue Area, Recreation Room, Sauna, Sauna/ Spa/ Hot Tub",TRUE,3750,"Maintenance - Exterior, Gas, Landscaping/Gardening, Management Fee, Roof, Sewer, , Water, Recreation Facility, Insurance - Structure, Common Area Gas, Maintenance - Common Area",,,9100000,06/08/2026 12:00:00 AM,,0,06/12/2026 12:00:00 AM,0,SF426137707,06/08/2026 12:00:00 AM,9100000,3741-098,Residential,-122.391446,37.791659,07/01/2026 12:00:00 AM,9100000,California,Sold,07/01/2026 12:00:00 AM,"Bay, Bay Bridge, Water",0,94105,801,All Cash No Loans
1 Steuart Lane,3,0,3,2559,San Francisco,San Francisco,19,12/31/2026 12:00:00 AM,0,0,"Gym/ Exercise Facility, Recreation Room, Sauna, Sauna/ Spa/ Hot Tub",TRUE,3904,,One Steuart Lane,,7200000,05/22/2026 12:00:00 AM,0.469,20415,06/10/2026 12:00:00 AM,0,SF426132511,05/22/2026 12:00:00 AM,7200000,3741-109,Residential,-122.391446,37.791659,07/10/2026 12:00:00 AM,7100000,California,Sold,07/10/2026 12:00:00 AM,"Bay, Bay Bridge, Panoramic, San Francisco, Water, City Lights",2021,94105,906,Not Reported
338 Main Street,3,0,3,2690,San Francisco,San Francisco,0,12/31/2026 12:00:00 AM,0,0,,TRUE,1764,,,,6995000,07/13/2026 12:00:00 AM,1.731,75406,07/13/2026 12:00:00 AM,0,SF426146354,07/13/2026 12:00:00 AM,6995000,3746-333,Residential,-122.391499,37.788675,07/15/2026 12:00:00 AM,7000000,California,Sold,07/15/2026 12:00:00 AM,,2016,94105,26B,All Cash No Loans
1332 Greenwich Street,3,1,3,2542,San Francisco,San Francisco,20,12/31/2026 12:00:00 AM,0,0,,TRUE,,,,,5250000,05/28/2026 12:00:00 AM,0.08,3474,06/17/2026 12:00:00 AM,0,SF426127964,05/28/2026 12:00:00 AM,5250000,0501-075,Residential,-122.421733,37.801038,07/01/2026 12:00:00 AM,6500000,California,Sold,07/01/2026 12:00:00 AM,,1895,94109,,All Cash No Loans
3193 Pacific Avenue,2,1,3,2140,San Francisco,San Francisco,4,11/26/2026 12:00:00 AM,1,1,,TRUE,1200,,,,3750000,06/25/2026 12:00:00 AM,0.056,2458,06/29/2026 12:00:00 AM,0,SF426141057,06/25/2026 12:00:00 AM,3750000,0974-023,Residential,-122.447326,37.791614,07/02/2026 12:00:00 AM,4875000,California,Sold,07/02/2026 12:00:00 AM,"Park, San Francisco, Forest/Woods, City Lights, Garden/Greenbelt",1911,94115,,All Cash No Loans
2637 Buchanan Street,3,1,5,4005,San Francisco,San Francisco,12,10/31/2026 12:00:00 AM,2,0,,TRUE,,", Water, Insurance",,,4995000,05/31/2026 12:00:00 AM,0.085,3694,06/12/2026 12:00:00 AM,0,SF426119204,05/31/2026 12:00:00 AM,4995000,0580-105,Residential,-122.431846,37.794219,07/31/2026 12:00:00 AM,4850000,California,Sold,07/31/2026 12:00:00 AM,,1905,94115,,All Cash No Loans
3442 Clay Street,2,1,3,2380,San Francisco,San Francisco,11,09/20/2026 12:00:00 AM,1,2,,TRUE,2482,"Maintenance - Exterior, Landscaping/Gardening, , Water, Insurance, Common Area Gas, Maintenance - Common Area",3440-3442 HOA,,3995000,06/08/2026 12:00:00 AM,0.082,3591,06/19/2026 12:00:00 AM,0,SF426135658,06/08/2026 12:00:00 AM,3995000,0996-051,Residential,-122.44966,37.788991,07/10/2026 12:00:00 AM,4250000,California,Sold,07/10/2026 12:00:00 AM,Bridge(s),1907,94118,,Conventional Loan
4135 California Street,4,0,4,2900,San Francisco,San Francisco,96,07/31/2026 12:00:00 AM,1,1,Security Gate(s),TRUE,1031,"Management Fee, , Insurance, Common Area Gas, Maintenance - Common Area",,,4495000,03/27/2026 12:00:00 AM,0.123,5370,07/01/2026 12:00:00 AM,0,SF426113949,03/27/2026 12:00:00 AM,4495000,1363-065,Residential,-122.462087,37.785122,07/17/2026 12:00:00 AM,4100000,California,Sold,07/17/2026 12:00:00 AM,"City, Ocean, San Francisco, Twin Peaks, City Lights",2026,94118,7,Not Reported
999 Green Street,2,0,2,1795,San Francisco,San Francisco,108,12/31/2026 12:00:00 AM,0,2,,TRUE,4043,"Maintenance - Exterior, Heating, Management Fee, Roof, Sewer, , Water, Insurance, Insurance - Structure, Common Area Gas, Maintenance - Common Area, Door Person",The 999 Summit Owners' Association,,4550000,03/15/2026 12:00:00 AM,0.328,14264,07/01/2026 12:00:00 AM,0,SF426111014,03/15/2026 12:00:00 AM,5300000,0127-113,Residential,-122.415262,37.798475,07/14/2026 12:00:00 AM,4100000,California,Sold,07/14/2026 12:00:00 AM,"Bay, Golden Gate Bridge, Bridge(s), City, Mountains, Bay Bridge, Panoramic, San Francisco, City Lights, Downtown",1964,94133,2605,Not Reported
815 Lyon Street,2,2,3,2305,San Francisco,San Francisco,10,10/30/2026 12:00:00 AM,0,1,Security Gate(s),TRUE,200,"Security Service, , Water, Common Area Gas, Maintenance - Common Area",815 Lyon HOA,(202) 255-3072,2995000,06/15/2026 12:00:00 AM,0.065,2812,06/25/2026 12:00:00 AM,0,SF426132234,06/15/2026 12:00:00 AM,2995000,1150-052,Residential,-122.443903,37.778651,07/10/2026 12:00:00 AM,3675000,California,Sold,07/10/2026 12:00:00 AM,"Other, Park, San Francisco, City Lights, Downtown",2020,94115,B,All Cash No Loans
3008 Clay Street,2,1,3,2300,San Francisco,San Francisco,0,12/08/2026 12:00:00 AM,0,0,,TRUE,700,,,,3350000,07/02/2026 12:00:00 AM,0.06,2625,07/02/2026 12:00:00 AM,0,SF426149849,07/02/2026 12:00:00 AM,3350000,1000-047,Residential,-122.442961,37.789838,07/22/2026 12:00:00 AM,3350000,California,Sold,07/22/2026 12:00:00 AM,,1908,94115,,Conventional Loan
2632 Laguna Street,2,1,3,2225,San Francisco,San Francisco,27,07/31/2026 12:00:00 AM,1,1,Security Gate(s),TRUE,800,"Gas, Landscaping/Gardening, Insurance, Common Area Gas, Maintenance - Common Area",,,2895000,06/12/2026 12:00:00 AM,0.056,2449,07/09/2026 12:00:00 AM,0,SF426138953,06/12/2026 12:00:00 AM,2895000,0567-120,Residential,-122.429869,37.795761,07/30/2026 12:00:00 AM,3139375,California,Sold,07/30/2026 12:00:00 AM,"Bay, City",1900,94123,,Conventional Loan
1623 Hyde Street,2,1,3,1741,San Francisco,San Francisco,55,07/27/2026 12:00:00 AM,1,0,,TRUE,600,"Insurance - Homeowners , Sewer,",,,2998000,05/22/2026 12:00:00 AM,0.079,3438,07/16/2026 12:00:00 AM,0,SF426125520,05/22/2026 12:00:00 AM,2998000,0154-046,Residential,-122.418525,37.795803,07/23/2026 12:00:00 AM,2998000,California,Sold,07/23/2026 12:00:00 AM,Golden Gate Bridge,1912,94109,,Conventional Loan
1 Steuart Lane,2,0,2,1828,San Francisco,San Francisco,13,05/29/2027 12:00:00 AM,0,0,"Gym/ Exercise Facility, Other, Barbecue Area, Recreation Room, Sauna, Sauna/ Spa/ Hot Tub",TRUE,3233,"Maintenance - Exterior, Landscaping/Gardening, Other, Roof, Sewer, , Water, Insurance - Structure, Common Area Gas, Maintenance - Common Area, Door Person",One Steuart Lane,,2995000,05/29/2026 12:00:00 AM,,0,06/11/2026 12:00:00 AM,0,SF426135225,05/29/2026 12:00:00 AM,2995000,3741-112,Residential,-122.391446,37.791659,07/10/2026 12:00:00 AM,2995000,California,Sold,07/10/2026 12:00:00 AM,"Bay, Bay Bridge, Water",0,94105,1003,All Cash No Loans
